,k,Time,Result
accident/opt.csv,4,115.26,0.0125
adni_demographic_master_kaggle/opt.csv,10,3.70431,0.2
ad/opt.csv,2,22.2222,0.035
adult/opt.csv,7,3.93197,0.182957
adult-stretch/opt.csv,4,5.1504,0
adult+stretch/opt.csv,4,3.9633,0
AP_Endometrium_Breast/opt.csv,4,115.26,0.0125
AP_Endometrium_Lung/opt.csv,2,39.775,0
AP_Endometrium_Omentum/opt.csv,4,115.26,0.0125
arsenic-male-bladder/opt.csv,4,115.26,0.0125
Attribute_DataSet/opt.csv,4,115.26,0.0125
australian/opt.csv,4,115.26,0.0125
baboon_mating/opt.csv,10,3.70431,0.2
bands/opt.csv,2,4.49714,0.004917
bank-additional-full/opt.csv,7,3.93197,0.182957
bank-additional/opt.csv,10,3.8744,0.100251
biodeg/opt.csv,4,3.9498,0.109524
block_10/opt.csv,4,115.26,0.0125
block_1/opt.csv,4,115.26,0.0125
block_2/opt.csv,4,115.26,0.0125
block_3/opt.csv,4,115.26,0.0125
block_4/opt.csv,10,3.75809,0.170426
block_5/opt.csv,9,3.7555,0.192708
block_6/opt.csv,9,3.7555,0.192708
block_7/opt.csv,4,115.26,0.0125
block_8/opt.csv,4,115.26,0.0125
car/opt.csv,4,115.26,0.0125
chess/opt.csv,4,115.26,0.0125
chscase_health/opt.csv,4,115.26,0.0125
cities_r2/opt.csv,4,115.26,0.0125
confidence/opt.csv,6,3.90974,0
creditcard/opt.csv,4,115.26,0.0125
crx/opt.csv,4,115.26,0.0125
data_banknote_authentication/opt.csv,4,115.26,0.0125
datatest2/opt.csv,4,115.26,0.0125
datatest/opt.csv,4,115.26,0.0125
datatraining/opt.csv,2,4.49714,0.004917
dbworld_bodies/opt.csv,4,115.26,0.0125
dbworld_bodies_stemmed/opt.csv,1,3.75337,0.100251
dbworld_subjects/opt.csv,7,3.93197,0.182957
dbworld_subjects_stemmed/opt.csv,2,22.2222,0.035
dcg/opt.csv,4,115.26,0.0125
default_of_credit_card_clients/opt.csv,10,3.79096,0.205514
dermatology/opt.csv,4,115.26,0.0125
diagnosis/opt.csv,2,4.49714,0.004917
fertility_Diagnosis/opt.csv,4,115.26,0.0125
ftp/opt.csv,4,115.26,0.0125
gym/opt.csv,10,3.75809,0.170426
haberman/opt.csv,4,115.26,0.0125
heart/opt.csv,4,115.26,0.0125
hepatitis/opt.csv,10,3.70431,0.2
Hill_Valley_with_noise_Training/opt.csv,2,4.49714,0.004917
Hill_Valley_without_noise_Training/opt.csv,4,115.26,0.0125
house-votes-84/opt.csv,4,115.26,0.0125
HR_comma_sep/opt.csv,1,3.75337,0.100251
imdb/opt.csv,4,115.26,0.0125
indian_ilpd/opt.csv,7,4.12659,0.318966
ionosphere/opt.csv,10,3.75809,0.170426
kohkiloyeh/opt.csv,4,115.26,0.0125
krk/opt.csv,4,115.26,0.0125
lupus/opt.csv,7,3.93197,0.182957
lymphoma_2classes/opt.csv,10,3.70431,0.2
magic04/opt.csv,4,115.26,0.0125
mammographic_masses/opt.csv,9,3.7555,0.192708
messidor_features/opt.csv,4,115.26,0.0125
monks-1.train/opt.csv,10,3.69919,0.291667
monks-2.train/opt.csv,4,115.26,0.0125
monks-3.train/opt.csv,7,3.93197,0.182957
mushrooms/opt.csv,4,115.26,0.0125
musk/opt.csv,3,20.7217,0.02005
mutagenesis/opt.csv,1,5.30493,0.04
numeric_sequence/opt.csv,7,3.93197,0.182957
nursery/opt.csv,1,3.75337,0.100251
parkinsons/opt.csv,4,115.26,0.0125
php3BOEY5/opt.csv,4,115.26,0.0125
php4ylQmK/opt.csv,4,115.26,0.0125
php7E9bQN/opt.csv,4,115.26,0.0125
php9xWOpn/opt.csv,4,115.26,0.0125
phphHV8xl/opt.csv,4,115.26,0.0125
phpjG28NS/opt.csv,1,3.75337,0.100251
phpLalDwz/opt.csv,4,115.26,0.0125
phplN67dW/opt.csv,4,115.26,0.0125
phpqZOQcc/opt.csv,4,115.26,0.0125
phps53v4E/opt.csv,4,115.26,0.0125
phpSRnbqC/opt.csv,4,115.26,0.0125
phpZeLjnh/opt.csv,4,115.26,0.0125
pima-indians-diabetes/opt.csv,4,115.26,0.0125
Pokemon/opt.csv,4,115.26,0.0125
Political-media-DFE/opt.csv,4,115.26,0.0125
prostate_TumorVSNormal/opt.csv,2,22.2222,0.035
ptc/opt.csv,4,115.26,0.0125
Qualitative_Bankruptcy/opt.csv,10,3.70431,0.2
rabe_97/opt.csv,4,115.26,0.0125
SalesKaggle3/opt.csv,1,3.75337,0.100251
seismic-bumps/opt.csv,4,115.26,0.0125
shuttle-landing-control/opt.csv,9,3.7555,0.192708
sonar/opt.csv,4,115.26,0.0125
spambase/opt.csv,4,115.26,0.0125
SPECTF/opt.csv,4,115.26,0.0125
student-mat/opt.csv,10,3.70431,0.2
testing/opt.csv,8,3.70455,0.171717
ThoraricSurgery/opt.csv,4,115.26,0.0125
tic-tac-toe/opt.csv,1,3.75337,0.100251
training/opt.csv,10,3.75809,0.170426
trains/opt.csv,4,115.26,0.0125
transfusion/opt.csv,10,3.75809,0.170426
UCI_Credit_Card/opt.csv,7,3.93197,0.182957
university_grade/opt.csv,2,4.49714,0.004917
university_salary/opt.csv,4,115.26,0.0125
utube/opt.csv,4,115.26,0.0125
vgsales_EU/opt.csv,4,115.26,0.0125
vgsales_global/opt.csv,4,115.26,0.0125
vgsales_JP/opt.csv,9,3.7555,0.192708
vgsales_NA/opt.csv,4,115.26,0.0125
vgsales_other/opt.csv,4,115.26,0.0125
Video_Games_Sales_as_at_30_Nov_2016/opt.csv,4,115.26,0.0125
visualizing_soil/opt.csv,1,3.92459,0.004632
voice/opt.csv,2,4.49714,0.004917
winequality-red/opt.csv,4,115.26,0.0125
winequality-white/opt.csv,4,115.26,0.0125
world/opt.csv,4,115.26,0.0125
yellow-small+adult-stretch/opt.csv,4,115.26,0.0125
yellow-small/opt.csv,4,3.69464,0
